year,IPC1,IPC2,IPC4,IPCMAG
1750,0.0,0.0,0.0,0.0
1751,0.0,0.0,0.0,0.0
1752,0.0,0.0,0.0,0.0
1753,0.0,0.0,0.0,0.0
1754,0.0,0.0,0.0,0.0
1755,0.0,0.0,0.0,0.0
1756,0.0,0.0,0.0,0.0
1757,0.0,0.0,0.0,0.0
1758,0.0,0.0,0.0,0.0
1759,0.0,0.0,0.0,0.0
1760,0.0,0.0,0.0,0.0
1761,0.0,0.0,0.0,0.0
1762,0.0,0.0,0.0,0.0
1763,0.0,0.0,0.0,0.0
1764,0.0,0.0,0.0,0.0
1765,0.0,0.0,0.0,0.0
1766,0.0,0.0,0.0,0.0
1767,0.0,0.0,0.0,0.0
1768,0.0,0.0,0.0,0.0
1769,0.0,0.0,0.0,0.0
1770,0.0,0.0,0.0,0.0
1771,0.0,0.0,0.0,0.0
1772,0.0,0.0,0.0,0.0
1773,0.0,0.0,0.0,0.0
1774,0.0,0.0,0.0,0.0
1775,0.0,0.0,0.0,0.0
1776,0.0,0.0,0.0,0.0
1777,0.0,0.0,0.0,0.0
1778,0.0,0.0,0.0,0.0
1779,0.0,0.0,0.0,0.0
1780,0.0,0.0,0.0,0.0
1781,0.0,0.0,0.0,0.0
1782,0.0,0.0,0.0,0.0
1783,0.0,0.0,0.0,0.0
1784,0.0,0.0,0.0,0.0
1785,0.0,0.0,0.0,0.0
1786,0.0,0.0,0.0,0.0
1787,0.0,0.0,0.0,0.0
1788,0.0,0.0,0.0,0.0
1789,0.0,0.0,0.0,0.0
1790,0.0,0.0,0.0,0.0
1791,0.0,0.0,0.0,0.0
1792,0.0,0.0,0.0,0.0
1793,0.0,0.0,0.0,0.0
1794,0.0,0.0,0.0,0.0
1795,0.0,0.0,0.0,0.0
1796,0.0,0.0,0.0,0.0
1797,0.0,0.0,0.0,0.0
1798,0.0,0.0,0.0,0.0
1799,0.387,0.0,0.0,0.0
1800,0.407,0.00744,0.0,0.0
1801,0.444,0.00811,0.0,0.0
1802,0.451,0.00825,0.0,0.0
1803,0.462,0.00845,0.0,0.0
1804,0.458,0.00838,0.0,0.0
1805,0.572,0.0105,0.0,0.0
1806,0.521,0.009519999999999999,0.0,0.0
1807,0.378,0.006900000000000001,0.0,0.0
1808,0.502,0.009179999999999999,0.0,0.0
1809,0.473,0.00865,0.0,0.0
1810,0.568,0.0104,0.0,0.0
1811,0.59,0.0108,0.0,0.0
1812,0.455,0.00831,0.0,0.0
1813,0.381,0.00697,0.0,0.0
1814,0.502,0.009179999999999999,0.0,0.0
1815,0.59,0.0108,0.0,0.0
1816,0.678,0.0124,0.0,0.0
1817,0.744,0.0136,0.0,0.0
1818,0.924,0.0169,0.0,0.0
1819,0.759,0.013900000000000001,0.0,0.0
1820,0.748,0.013699999999999999,0.0,0.0
1821,0.829,0.0152,0.0,0.0
