year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0493,0.0,0.00215,0.0,0.017
1751,0.0496,0.0,0.00217,0.0,0.0171
1752,0.0499,0.0,0.00219,0.0,0.0172
1753,0.0502,0.0,0.0022,0.0,0.0173
1754,0.0505,0.0,0.00222,0.0,0.0175
1755,0.0508,0.0,0.0022299999999999998,0.0,0.0176
1756,0.0511,0.0,0.00225,0.0,0.0177
1757,0.0514,0.0,0.00226,0.0,0.0178
1758,0.0517,0.0,0.00228,0.0,0.018
1759,0.052,0.0,0.00229,0.0,0.0181
1760,0.0523,0.0,0.00231,0.0,0.0182
1761,0.052700000000000004,0.0,0.00232,0.0,0.0183
1762,0.053,0.0,0.00234,0.0,0.0185
1763,0.0533,0.0,0.0023599999999999997,0.0,0.018600000000000002
1764,0.0536,0.0,0.00237,0.0,0.018699999999999998
1765,0.054,0.0,0.00239,0.0,0.0188
1766,0.054299999999999994,0.0,0.0024100000000000002,0.0,0.019
1767,0.0546,0.0,0.00242,0.0,0.019100000000000002
1768,0.0549,0.0,0.00244,0.0,0.0192
1769,0.055299999999999995,0.0,0.00246,0.0,0.019399999999999997
1770,0.055600000000000004,0.0,0.0024700000000000004,0.0,0.0195
1771,0.0559,0.0,0.00249,0.0,0.019600000000000003
1772,0.056299999999999996,0.0,0.0025099999999999996,0.0,0.0198
1773,0.056600000000000004,0.0,0.0025299999999999997,0.0,0.019899999999999998
1774,0.0569,0.0,0.00254,0.0,0.0201
1775,0.0573,0.0,0.00256,0.0,0.0202
1776,0.0576,0.0,0.0025800000000000003,0.0,0.020300000000000002
1777,0.0579,0.0,0.0026,0.0,0.0205
1778,0.0583,0.0,0.00261,0.0,0.0206
1779,0.0586,0.0,0.00263,0.0,0.0208
1780,0.0589,0.0,0.00265,0.0,0.0209
1781,0.0593,0.0,0.00267,0.0,0.021
1782,0.0596,0.0,0.00269,0.0,0.0212
1783,0.06,0.0,0.00271,0.0,0.0213
1784,0.060399999999999995,0.0,0.00273,0.0,0.0215
1785,0.060700000000000004,0.0,0.0027400000000000002,0.0,0.0216
1786,0.0611,0.0,0.00276,0.0,0.0218
1787,0.061399999999999996,0.0,0.00278,0.0,0.0219
1788,0.061700000000000005,0.0,0.0028,0.0,0.0221
1789,0.0621,0.0,0.00282,0.0,0.0222
1790,0.0624,0.0,0.0028399999999999996,0.0,0.0224
1791,0.0628,0.0,0.0028599999999999997,0.0,0.0225
1792,0.0632,0.0,0.0028799999999999997,0.0,0.022699999999999998
1793,0.0635,0.0,0.0029,0.0,0.0229
1794,0.0639,0.0,0.00292,0.0,0.023
1795,0.0643,0.0,0.00294,0.0,0.0232
1796,0.06459999999999999,0.0,0.00296,0.0,0.0233
1797,0.065,0.0,0.00298,0.0,0.0235
1798,0.0654,0.0,0.003,0.0,0.0237
1799,0.06570000000000001,0.0,0.00302,0.0,0.0238
1800,0.06609999999999999,0.0,0.00304,0.0,0.024
1801,0.0665,0.0,0.0030600000000000002,0.0,0.0242
1802,0.0668,0.0,0.00309,0.0,0.024300000000000002
1803,0.06720000000000001,0.0,0.00311,0.0,0.0245
1804,0.0676,0.0,0.00313,0.0,0.0247
1805,0.068,0.0,0.00315,0.0,0.0248
1806,0.0683,0.0,0.00317,0.0,0.025
1807,0.0687,0.0,0.00319,0.0,0.0252
1808,0.0691,0.0,0.00322,0.0,0.0254
1809,0.0695,0.0,0.0032400000000000003,0.0,0.0255
1810,0.0698,0.0,0.00326,0.0,0.0257
1811,0.0702,0.0,0.00328,0.0,0.0259
1812,0.0706,0.0,0.00331,0.0,0.0261
1813,0.071,0.0,0.00333,0.0,0.026199999999999998
1814,0.0714,0.0,0.00335,0.0,0.0264
1815,0.0718,0.0,0.0033799999999999998,0.0,0.026600000000000002
1816,0.0721,0.0,0.0034,0.0,0.0268
1817,0.0725,0.0,0.00342,0.0,0.027
1818,0.0729,0.0,0.0034500000000000004,0.0,0.0272
1819,0.0733,0.0,0.00347,0.0,0.0273
1820,0.0737,0.0,0.00349,0.0,0.0275
1821,0.07540000000000001,0.0,0.0035800000000000003,0.0,0.0282
1822,0.0772,0.0,0.00367,0.0,0.0289
1823,0.07890000000000001,0.0,0.00376,0.0,0.0296
1824,0.08059999999999999,0.0,0.00385,0.0,0.0303
1825,0.0823,0.0,0.00394,0.0,0.031
1826,0.0841,0.0,0.004030000000000001,0.0,0.0317
1827,0.0858,0.0,0.00411,0.0,0.0324
1828,0.0875,0.0,0.004200000000000001,0.0,0.033100000000000004
1829,0.0892,0.0,0.00429,0.0,0.0338
1830,0.09090000000000001,0.0,0.00438,0.0,0.0345
1831,0.09290000000000001,0.0,0.00449,0.0,0.0354
1832,0.095,0.0,0.0046,0.0,0.0363
1833,0.09709999999999999,0.0,0.00471,0.0,0.0371
1834,0.0992,0.0,0.0048200000000000005,0.0,0.038
1835,0.101,0.0,0.0049299999999999995,0.0,0.0389
1836,0.103,0.0,0.00504,0.0,0.039700000000000006
1837,0.105,0.0,0.00515,0.0,0.040600000000000004
1838,0.107,0.0,0.00526,0.0,0.0414
1839,0.109,0.0,0.00537,0.0,0.0423
1840,0.111,0.0,0.0054800000000000005,0.0,0.0432
1841,0.114,0.0,0.00561,0.0,0.0443
1842,0.116,0.0,0.00575,0.0,0.0453
1843,0.119,0.0,0.005889999999999999,0.0,0.0464
1844,0.122,0.0,0.006019999999999999,0.0,0.0475
1845,0.124,0.0,0.0061600000000000005,0.0,0.048600000000000004
1846,0.127,0.0,0.0063,0.0,0.0496
1847,0.129,0.0,0.00644,0.0,0.0507
1848,0.131,0.0,0.00657,0.0,0.0518
1849,0.134,0.0,0.00671,0.0,0.052899999999999996
1850,0.136,0.0,0.006849999999999999,0.0,0.054
1851,0.137,0.0,0.006889999999999999,0.0,0.054299999999999994
1852,0.138,0.0,0.0069299999999999995,0.0,0.0546
1853,0.139,0.0,0.00697,0.0,0.055
1854,0.14,0.0,0.00701,0.0,0.055299999999999995
1855,0.14,0.0,0.0070599999999999994,0.0,0.055600000000000004
1856,0.141,0.0,0.0070999999999999995,0.0,0.0559
1857,0.142,0.0,0.00714,0.0,0.056299999999999996
1858,0.143,0.0,0.00718,0.0,0.056600000000000004
