year,IPC4,IPCMAG
1750,0.000146,3.85e-05
1751,0.000147,3.87e-05
1752,0.000148,3.9e-05
1753,0.000148,3.92e-05
1754,0.000149,3.9399999999999995e-05
1755,0.00015,3.96e-05
1756,0.00015099999999999998,3.9800000000000005e-05
1757,0.00015099999999999998,4e-05
1758,0.000152,4.02e-05
1759,0.000153,4.04e-05
1760,0.000154,4.06e-05
1761,0.000155,4.08e-05
1762,0.000155,4.1e-05
1763,0.000156,4.12e-05
1764,0.000157,4.14e-05
1765,0.000158,4.1599999999999995e-05
1766,0.00015900000000000002,4.19e-05
1767,0.00015900000000000002,4.21e-05
1768,0.00016,4.23e-05
1769,0.000161,4.25e-05
1770,0.000162,4.27e-05
1771,0.000163,4.29e-05
1772,0.000164,4.32e-05
1773,0.000164,4.34e-05
1774,0.000165,4.36e-05
1775,0.000166,4.38e-05
1776,0.00016700000000000002,4.41e-05
1777,0.00016800000000000002,4.43e-05
1778,0.00016900000000000002,4.45e-05
1779,0.00016900000000000002,4.4699999999999996e-05
1780,0.00017,4.4999999999999996e-05
1781,0.000171,4.5199999999999994e-05
1782,0.00017199999999999998,4.5400000000000006e-05
1783,0.00017299999999999998,4.57e-05
1784,0.000174,4.5900000000000004e-05
1785,0.000175,4.61e-05
1786,0.000176,4.6399999999999996e-05
1787,0.000177,4.66e-05
1788,0.000178,4.68e-05
1789,0.000178,4.71e-05
1790,0.000179,4.7300000000000005e-05
1791,0.00017999999999999998,4.7600000000000005e-05
1792,0.00018099999999999998,4.78e-05
1793,0.000182,4.81e-05
1794,0.000183,4.83e-05
1795,0.000184,4.8599999999999995e-05
1796,0.000185,4.88e-05
1797,0.000186,4.91e-05
1798,0.000187,4.93e-05
1799,0.000188,4.96e-05
1800,0.000189,4.98e-05
1801,0.00019,5.01e-05
1802,0.000191,5.0299999999999996e-05
1803,0.000192,5.06e-05
1804,0.000193,5.0900000000000004e-05
1805,0.000194,5.11e-05
1806,0.000195,5.14e-05
1807,0.00019600000000000002,5.16e-05
1808,0.00019700000000000002,5.19e-05
1809,0.00019800000000000002,5.22e-05
1810,0.000199,5.24e-05
1811,0.0002,5.2699999999999993e-05
1812,0.000201,5.3e-05
1813,0.000202,5.33e-05
1814,0.000203,5.36e-05
1815,0.000204,5.39e-05
1816,0.000205,5.4199999999999996e-05
1817,0.000206,5.4499999999999997e-05
1818,0.000208,5.4800000000000004e-05
1819,0.00020899999999999998,5.5100000000000004e-05
1820,0.00020999999999999998,5.53e-05
1821,0.000211,5.57e-05
1822,0.000212,5.6e-05
1823,0.000213,5.63e-05
1824,0.000214,5.66e-05
1825,0.000216,5.69e-05
1826,0.000217,5.72e-05
1827,0.00021799999999999999,5.75e-05
1828,0.000219,5.7799999999999995e-05
1829,0.00022,5.8099999999999996e-05
1830,0.000221,5.84e-05
1831,0.000223,5.8700000000000004e-05
1832,0.000224,5.91e-05
1833,0.000225,5.94e-05
1834,0.00022600000000000002,5.97e-05
1835,0.000228,5.9999999999999995e-05
1836,0.000229,6.0400000000000004e-05
1837,0.00023,6.07e-05
1838,0.000231,6.1e-05
1839,0.000232,6.13e-05
1840,0.00023400000000000002,6.17e-05
1841,0.000235,6.2e-05
1842,0.000236,6.24e-05
1843,0.00023799999999999998,6.27e-05
1844,0.00023899999999999998,6.3e-05
1845,0.00023999999999999998,6.34e-05
1846,0.000241,6.37e-05
1847,0.000243,6.41e-05
1848,0.000244,6.44e-05
1849,0.000245,6.48e-05
1850,0.000247,6.829999999999999e-05
1851,0.000248,6.87e-05
1852,0.000249,6.92e-05
1853,0.000251,6.96e-05
1854,0.000252,7.01e-05
1855,0.000253,7.049999999999999e-05
1856,0.000255,7.09e-05
1857,0.000256,7.13e-05
1858,0.000258,7.17e-05
1859,0.000259,7.209999999999999e-05
1860,0.00026000000000000003,7.25e-05
1861,0.000261,7.27e-05
1862,0.000262,7.3e-05
1863,0.000263,7.32e-05
1864,0.000264,7.340000000000001e-05
1865,0.000265,7.37e-05
1866,0.000266,7.39e-05
1867,0.00026700000000000004,7.41e-05
1868,0.000268,7.439999999999999e-05
1869,0.000268,7.46e-05
1870,0.00026900000000000003,7.48e-05
1871,0.00027,7.52e-05
1872,0.00027100000000000003,7.56e-05
1873,0.000272,7.620000000000001e-05
1874,0.000273,7.69e-05
1875,0.00027400000000000005,7.76e-05
1876,0.000275,7.829999999999999e-05
1877,0.00027600000000000004,7.89e-05
1878,0.000277,7.960000000000001e-05
