year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0006580000000000001,0.0,0.00131,0.0,0.0039900000000000005
1751,0.00066,0.0,0.00132,0.0,0.0039900000000000005
1752,0.000661,0.0,0.00132,0.0,0.004
1753,0.000662,0.0,0.00132,0.0,0.00401
1754,0.0006630000000000001,0.0,0.00132,0.0,0.004019999999999999
1755,0.000664,0.0,0.00133,0.0,0.004019999999999999
1756,0.000665,0.0,0.00133,0.0,0.004030000000000001
1757,0.000666,0.0,0.00133,0.0,0.00404
1758,0.0006670000000000001,0.0,0.00133,0.0,0.00405
1759,0.0006680000000000001,0.0,0.00134,0.0,0.00405
1760,0.000669,0.0,0.00134,0.0,0.004059999999999999
1761,0.00067,0.0,0.00134,0.0,0.004070000000000001
1762,0.000671,0.0,0.00134,0.0,0.004070000000000001
1763,0.0006720000000000001,0.0,0.00135,0.0,0.00408
1764,0.0006720000000000001,0.0,0.00135,0.0,0.00409
1765,0.0006730000000000001,0.0,0.00135,0.0,0.0040999999999999995
1766,0.000674,0.0,0.00135,0.0,0.00411
1767,0.000675,0.0,0.00136,0.0,0.00411
1768,0.0006760000000000001,0.0,0.00136,0.0,0.00412
1769,0.0006770000000000001,0.0,0.00136,0.0,0.00413
1770,0.000678,0.0,0.00136,0.0,0.00414
1771,0.000679,0.0,0.0013700000000000001,0.0,0.00414
1772,0.00068,0.0,0.0013700000000000001,0.0,0.00415
1773,0.0006810000000000001,0.0,0.0013700000000000001,0.0,0.0041600000000000005
1774,0.0006820000000000001,0.0,0.0013700000000000001,0.0,0.00417
1775,0.000683,0.0,0.00138,0.0,0.00417
1776,0.000684,0.0,0.00138,0.0,0.00418
1777,0.0006850000000000001,0.0,0.00138,0.0,0.00419
1778,0.0006860000000000001,0.0,0.00138,0.0,0.004200000000000001
1779,0.000687,0.0,0.00139,0.0,0.004200000000000001
1780,0.0006879999999999999,0.0,0.00139,0.0,0.00421
1781,0.0006889999999999999,0.0,0.00139,0.0,0.00422
1782,0.00069,0.0,0.00139,0.0,0.00423
1783,0.000691,0.0,0.0014,0.0,0.00424
1784,0.0006919999999999999,0.0,0.0014,0.0,0.00424
1785,0.0006929999999999999,0.0,0.0014,0.0,0.00425
1786,0.000694,0.0,0.0014,0.0,0.00426
1787,0.000695,0.0,0.00141,0.0,0.0042699999999999995
1788,0.000696,0.0,0.00141,0.0,0.0042699999999999995
1789,0.0006969999999999999,0.0,0.00141,0.0,0.00428
1790,0.0006979999999999999,0.0,0.00141,0.0,0.00429
1791,0.000699,0.0,0.0014199999999999998,0.0,0.0043
1792,0.0007,0.0,0.0014199999999999998,0.0,0.00431
1793,0.0007009999999999999,0.0,0.0014199999999999998,0.0,0.00431
1794,0.0007019999999999999,0.0,0.0014199999999999998,0.0,0.00432
1795,0.000703,0.0,0.0014299999999999998,0.0,0.00433
1796,0.000704,0.0,0.0014299999999999998,0.0,0.00434
1797,0.000705,0.0,0.0014299999999999998,0.0,0.00435
1798,0.0007059999999999999,0.0,0.0014299999999999998,0.0,0.00435
1799,0.000707,0.0,0.0014399999999999999,0.0,0.00436
1800,0.000708,0.0,0.0014399999999999999,0.0,0.00437
1801,0.000709,0.0,0.0014399999999999999,0.0,0.00438
1802,0.000709,0.0,0.00145,0.0,0.00439
1803,0.0007099999999999999,0.0,0.00145,0.0,0.00439
1804,0.0007109999999999999,0.0,0.00145,0.0,0.0044
1805,0.000712,0.0,0.00145,0.0,0.00441
1806,0.000713,0.0,0.00146,0.0,0.00442
1807,0.000714,0.0,0.00146,0.0,0.00443
1808,0.0007149999999999999,0.0,0.00146,0.0,0.00443
1809,0.000716,0.0,0.00146,0.0,0.00444
1810,0.000717,0.0,0.00147,0.0,0.00445
