year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.011800000000000001,0.0,0.026600000000000002,0.0,0.133
1751,0.0119,0.0,0.0268,0.0,0.134
1752,0.0119,0.0,0.027,0.0,0.135
1753,0.012,0.0,0.0272,0.0,0.136
1754,0.0121,0.0,0.027399999999999997,0.0,0.137
1755,0.012199999999999999,0.0,0.0275,0.0,0.138
1756,0.0123,0.0,0.0277,0.0,0.139
1757,0.0124,0.0,0.027899999999999998,0.0,0.14
1758,0.0124,0.0,0.0281,0.0,0.141
1759,0.0125,0.0,0.028300000000000002,0.0,0.142
1760,0.0126,0.0,0.0285,0.0,0.143
1761,0.0127,0.0,0.0287,0.0,0.144
1762,0.0128,0.0,0.0289,0.0,0.145
1763,0.0129,0.0,0.0291,0.0,0.146
1764,0.013,0.0,0.0293,0.0,0.147
1765,0.013099999999999999,0.0,0.0295,0.0,0.148
1766,0.0132,0.0,0.0297,0.0,0.149
1767,0.0132,0.0,0.0299,0.0,0.15
1768,0.013300000000000001,0.0,0.030100000000000002,0.0,0.151
1769,0.0134,0.0,0.0303,0.0,0.152
1770,0.0135,0.0,0.0305,0.0,0.153
1771,0.0136,0.0,0.030699999999999998,0.0,0.154
1772,0.013699999999999999,0.0,0.031,0.0,0.155
1773,0.013800000000000002,0.0,0.0312,0.0,0.156
1774,0.013900000000000001,0.0,0.0314,0.0,0.157
1775,0.014,0.0,0.0316,0.0,0.158
1776,0.0141,0.0,0.0318,0.0,0.16
1777,0.014199999999999999,0.0,0.032100000000000004,0.0,0.161
1778,0.0143,0.0,0.032299999999999995,0.0,0.162
1779,0.0144,0.0,0.0325,0.0,0.163
1780,0.0145,0.0,0.0327,0.0,0.164
1781,0.0146,0.0,0.0329,0.0,0.165
1782,0.0147,0.0,0.0332,0.0,0.166
1783,0.0148,0.0,0.0334,0.0,0.167
1784,0.0149,0.0,0.033600000000000005,0.0,0.169
1785,0.015,0.0,0.0339,0.0,0.17
1786,0.015099999999999999,0.0,0.0341,0.0,0.171
1787,0.0152,0.0,0.0343,0.0,0.172
1788,0.015300000000000001,0.0,0.0346,0.0,0.173
1789,0.0154,0.0,0.0348,0.0,0.174
1790,0.0155,0.0,0.035,0.0,0.176
1791,0.0156,0.0,0.0353,0.0,0.177
1792,0.0157,0.0,0.0355,0.0,0.178
1793,0.0158,0.0,0.0358,0.0,0.179
1794,0.016,0.0,0.036,0.0,0.181
1795,0.0161,0.0,0.0363,0.0,0.182
1796,0.0162,0.0,0.0365,0.0,0.183
1797,0.016300000000000002,0.0,0.0368,0.0,0.184
1798,0.016399999999999998,0.0,0.037,0.0,0.186
1799,0.0165,0.0,0.0373,0.0,0.187
1800,0.0166,0.0,0.0375,0.0,0.188
1801,0.0167,0.0,0.0378,0.0,0.19
1802,0.0169,0.0,0.0381,0.0,0.191
1803,0.017,0.0,0.038299999999999994,0.0,0.192
1804,0.0171,0.0,0.0386,0.0,0.194
1805,0.0172,0.0,0.0389,0.0,0.195
1806,0.0173,0.0,0.039200000000000006,0.0,0.196
1807,0.0174,0.0,0.0394,0.0,0.198
1808,0.0176,0.0,0.039700000000000006,0.0,0.199
1809,0.0177,0.0,0.04,0.0,0.2
1810,0.0178,0.0,0.0402,0.0,0.202
1811,0.0179,0.0,0.0405,0.0,0.203
1812,0.018,0.0,0.040799999999999996,0.0,0.204
1813,0.0182,0.0,0.041100000000000005,0.0,0.206
1814,0.0183,0.0,0.0414,0.0,0.207
1815,0.0184,0.0,0.0417,0.0,0.209
1816,0.0185,0.0,0.042,0.0,0.21
1817,0.018600000000000002,0.0,0.0422,0.0,0.212
