year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,5.1999999999999996e-08
1922,1.93e-07
1923,4.01e-07
1924,6.54e-07
1925,9.29e-07
1926,1.2e-06
1927,1.46e-06
1928,1.67e-06
1929,1.81e-06
1930,1.8600000000000002e-06
1931,1.82e-06
1932,1.6999999999999998e-06
1933,1.53e-06
1934,1.33e-06
1935,1.1100000000000002e-06
1936,8.85e-07
1937,6.809999999999999e-07
1938,5.13e-07
1939,3.99e-07
1940,3.57e-07
1941,9.709999999999999e-07
1942,2.69e-06
1943,5.31e-06
1944,8.64e-06
1945,1.25e-05
1946,1.67e-05
1947,2.1000000000000002e-05
1948,2.53e-05
1949,2.93e-05
1950,3.2800000000000004e-05
1951,3.61e-05
1952,3.9399999999999995e-05
1953,4.27e-05
1954,4.6e-05
1955,4.93e-05
1956,5.26e-05
1957,5.59e-05
1958,5.93e-05
1959,6.26e-05
1960,6.6e-05
1961,6.91e-05
1962,7.19e-05
1963,7.46e-05
1964,7.72e-05
1965,8e-05
1966,8.3e-05
1967,8.649999999999999e-05
1968,9.049999999999999e-05
1969,9.53e-05
1970,0.000101
1971,0.000112
1972,0.00013000000000000002
1973,0.000155
1974,0.000185
1975,0.000219
1976,0.000256
1977,0.00029299999999999997
1978,0.00033
1979,0.000364
1980,0.00039600000000000003
1981,0.000428
1982,0.000464
1983,0.000503
1984,0.0005420000000000001
1985,0.000579
1986,0.000614
1987,0.0006450000000000001
1988,0.000669
1989,0.0006850000000000001
1990,0.000691
1991,0.0007239999999999999
1992,0.0008010000000000001
1993,0.0012
1994,0.00204
1995,0.0033799999999999998
1996,0.00674
1997,0.0108
1998,0.016800000000000002
1999,0.022
2000,0.0337
2001,0.0378
2002,0.0358
2003,0.0417
2004,0.056799999999999996
2005,0.0711
2006,0.0747
2007,0.0825
2008,0.08979999999999999
2009,0.0953
2010,0.101
2011,0.137
2012,0.173
2013,0.215
2014,0.257
2015,0.277
2016,0.297
2017,0.346
2018,0.391
2019,0.437
2020,0.419
2021,0.446
