year,IPC1,IPC2,IPCMAG
1750,0.0,0.000136,0.0
1751,0.0,0.000136,0.0
1752,0.0,0.000136,0.0
1753,0.0,0.000136,0.0
1754,0.0,0.00013700000000000002,0.0
1755,0.0,0.00013700000000000002,0.0
1756,0.0,0.00013700000000000002,0.0
1757,0.0,0.00013700000000000002,0.0
1758,0.0,0.00013700000000000002,0.0
1759,0.0,0.00013700000000000002,0.0
1760,0.0,0.00013700000000000002,0.0
1761,0.0,0.00013700000000000002,0.0
1762,0.0,0.00013700000000000002,0.0
1763,0.0,0.00013700000000000002,0.0
1764,0.0,0.00013700000000000002,0.0
1765,0.0,0.00013700000000000002,0.0
1766,0.0,0.00013700000000000002,0.0
1767,0.0,0.00013700000000000002,0.0
1768,0.0,0.00013700000000000002,0.0
1769,0.0,0.00013700000000000002,0.0
1770,0.0,0.00013700000000000002,0.0
1771,0.0,0.00013700000000000002,0.0
1772,0.0,0.00013700000000000002,0.0
1773,0.0,0.00013700000000000002,0.0
1774,0.0,0.00013700000000000002,0.0
1775,0.0,0.00013800000000000002,0.0
1776,0.0,0.00013800000000000002,0.0
1777,0.0,0.00013800000000000002,0.0
1778,0.0,0.00013800000000000002,0.0
1779,0.0,0.00013800000000000002,0.0
1780,0.0,0.00013800000000000002,0.0
1781,0.0,0.00013800000000000002,0.0
1782,0.0,0.00013800000000000002,0.0
1783,0.0,0.00013800000000000002,0.0
1784,0.0,0.00013800000000000002,0.0
1785,0.0,0.00013800000000000002,0.0
1786,0.0,0.00013800000000000002,0.0
1787,0.0,0.00013800000000000002,0.0
1788,0.0,0.00013800000000000002,0.0
1789,0.0,0.00013800000000000002,0.0
1790,0.0,0.00013800000000000002,0.0
1791,0.0,0.00013800000000000002,0.0
1792,0.0,0.00013800000000000002,0.0
1793,0.0,0.00013800000000000002,0.0
1794,0.0,0.00013800000000000002,0.0
1795,0.0,0.00013800000000000002,0.0
1796,0.0,0.00013800000000000002,0.0
1797,0.0,0.00013900000000000002,0.0
1798,0.0,0.00013900000000000002,0.0
1799,0.0,0.00013900000000000002,0.0
1800,0.0,0.00013900000000000002,0.0
1801,0.0,0.00013900000000000002,0.0
1802,0.0,0.00013900000000000002,0.0
1803,0.0,0.00013900000000000002,0.0
1804,0.0,0.00013900000000000002,0.0
1805,0.0,0.00013900000000000002,0.0
1806,0.0,0.00013900000000000002,0.0
1807,0.0,0.00013900000000000002,0.0
1808,0.0,0.00013900000000000002,0.0
1809,0.0,0.00013900000000000002,0.0
1810,0.0,0.00013900000000000002,0.0
1811,0.0,0.00013900000000000002,0.0
1812,0.0,0.00013900000000000002,0.0
1813,0.0,0.00013900000000000002,0.0
1814,0.0,0.00014000000000000001,0.0
1815,0.0,0.00014000000000000001,0.0
1816,0.0,0.00014000000000000001,0.0
1817,0.0,0.00014000000000000001,0.0
1818,0.0,0.00014000000000000001,0.0
1819,0.0,0.00014000000000000001,0.0
1820,0.0,0.00014000000000000001,0.0
1821,0.0,0.00014000000000000001,0.0
1822,0.0,0.00014099999999999998,0.0
1823,0.0,0.00014099999999999998,0.0
1824,0.0,0.00014099999999999998,0.0
1825,0.0,0.00014099999999999998,0.0
1826,0.0,0.00014099999999999998,0.0
1827,0.0,0.00014099999999999998,0.0
1828,0.0,0.00014099999999999998,0.0
1829,0.0,0.00014099999999999998,0.0
1830,0.0,0.00014099999999999998,0.0
1831,0.0,0.00014199999999999998,0.0
1832,0.0,0.00014199999999999998,0.0
1833,0.0,0.00014199999999999998,0.0
1834,0.0,0.00014199999999999998,0.0
1835,0.0,0.00014199999999999998,0.0
1836,0.0,0.00014199999999999998,0.0
1837,0.0,0.00014199999999999998,0.0
1838,0.0,0.00014199999999999998,0.0
1839,0.0,0.00014299999999999998,0.0
1840,0.0,0.00014299999999999998,0.0
1841,0.0,0.00014299999999999998,0.0
1842,0.0,0.00014299999999999998,0.0
1843,0.0,0.00014299999999999998,0.0
1844,0.0,0.00014299999999999998,0.0
1845,0.0,0.00014299999999999998,0.0
1846,0.0,0.00014299999999999998,0.0
1847,0.0,0.00014299999999999998,0.0
1848,0.0,0.00014399999999999998,0.0
1849,0.0,0.00014399999999999998,0.0
1850,0.0,0.00014399999999999998,0.0
1851,0.0,0.00014399999999999998,0.0
1852,0.0,0.00014399999999999998,0.0
1853,0.0,0.00014399999999999998,0.0
1854,0.0,0.00014399999999999998,0.0
1855,0.0,0.00014399999999999998,0.0
1856,0.0,0.000145,0.0
1857,0.0,0.000145,0.0
1858,0.0,0.000145,0.0
1859,0.0,0.000145,0.0
1860,0.0,0.000145,0.0
1861,0.0,0.000145,0.0
1862,0.0,0.000146,0.0
1863,0.0,0.000146,0.0
1864,0.0,0.000146,0.0
1865,0.0,0.000147,0.0
1866,0.0,0.000147,0.0
1867,0.0,0.000147,0.0
1868,0.0,0.000147,0.0
1869,0.0,0.000148,0.0
1870,0.0,0.000148,0.0
1871,0.0,0.000148,0.0
1872,0.0,0.000149,0.0
1873,0.0,0.000149,0.0
1874,0.0,0.000149,0.0
1875,0.0,0.00015,0.0
1876,0.0,0.00015,0.0
1877,0.0,0.00015,0.0
1878,0.0,0.00015,0.0
1879,0.0,0.00015099999999999998,0.0
1880,0.0,0.00015099999999999998,0.0
1881,0.0,0.00015099999999999998,0.0
1882,0.0,0.000152,0.0
1883,0.0,0.000152,0.0
1884,0.0,0.000152,0.0
1885,0.0,0.000153,0.0
1886,0.0,0.000153,0.0
1887,0.0,0.000153,0.0
1888,0.0,0.000154,0.0
1889,0.0,0.000154,0.0
1890,0.0,0.000154,0.0
1891,0.0,0.000154,0.0
1892,0.0,0.000155,0.0
