year,IPC1,IPC2,IPCMAG
1750,0.0,0.0,0.0
1751,0.0,0.0,0.0
1752,0.0,0.0,0.0
1753,0.0,0.0,0.0
1754,0.0,0.0,0.0
1755,0.0,0.0,0.0
1756,0.0,0.0,0.0
1757,0.0,0.0,0.0
1758,0.0,0.0,0.0
1759,0.0,0.0,0.0
1760,0.0,0.0,0.0
1761,0.0,0.0,0.0
1762,0.0,0.0,0.0
1763,0.0,0.0,0.0
1764,0.0,0.0,0.0
1765,0.0,0.0,0.0
1766,0.0,0.0,0.0
1767,0.0,0.0,0.0
1768,0.0,0.0,0.0
1769,0.0,0.0,0.0
1770,0.0,0.0,0.0
1771,0.0,0.0,0.0
1772,0.0,0.0,0.0
1773,0.0,0.0,0.0
1774,0.0,0.0,0.0
1775,0.0,0.0,0.0
1776,0.0,0.0,0.0
1777,0.0,0.0,0.0
1778,0.0,0.0,0.0
1779,0.0,0.0,0.0
1780,0.0,0.0,0.0
1781,0.0,0.0,0.0
1782,0.0,0.0,0.0
1783,0.0,0.0,0.0
1784,0.0,0.0,0.0
1785,0.0,0.0,0.0
1786,0.0,0.0,0.0
1787,0.0,0.0,0.0
1788,0.0,0.0,0.0
1789,0.0,0.0,0.0
1790,0.0,0.0,0.0
1791,0.0,0.0,0.0
1792,0.0,0.0,0.0
1793,0.0,0.0,0.0
1794,0.0,0.0,0.0
1795,0.0,0.0,0.0
1796,0.0,0.0,0.0
1797,0.0,0.0,0.0
1798,0.0,0.0,0.0
1799,0.0,0.0,0.0
1800,0.0,0.0,0.0
1801,0.0,0.0,0.0
1802,0.0,0.0,0.0
1803,0.0,0.0,0.0
1804,0.0,0.0,0.0
1805,0.0,0.0,0.0
1806,0.0,0.0,0.0
1807,0.0,0.0,0.0
1808,0.0,0.0,0.0
1809,0.0,0.0,0.0
1810,0.0,0.0,0.0
1811,0.0,0.0,0.0
1812,0.0,0.0,0.0
1813,0.0,0.0,0.0
1814,0.0,0.0,0.0
1815,0.0,0.0,0.0
1816,0.0,0.0,0.0
1817,0.0,0.0,0.0
1818,0.0,0.0,0.0
1819,0.0,0.0,0.0
1820,0.0,0.0,0.0
1821,0.0,0.0,0.0
1822,0.0,0.0,0.0
1823,0.0,0.0,0.0
1824,0.0,0.0,0.0
1825,0.0,0.0,0.0
1826,0.0,0.0,0.0
1827,0.0,0.0,0.0
1828,0.0,0.0,0.0
1829,0.0,0.0,0.0
1830,0.0,0.0,0.0
1831,0.0,0.0,0.0
1832,0.0,0.0,0.0
1833,0.0,0.0,0.0
1834,0.0,0.0,0.0
1835,0.0,0.0,0.0
1836,0.0,0.0,0.0
1837,0.0,0.0,0.0
1838,0.0,0.0,0.0
1839,0.0,0.0,0.0
1840,0.0,0.0,0.0
1841,0.0,0.0,0.0
1842,0.0,0.0,0.0
1843,0.0,0.0,0.0
1844,0.0,0.0,0.0
1845,0.0,0.0,0.0
1846,0.0,0.0,0.0
1847,0.0,0.0,0.0
1848,0.0,0.0,0.0
1849,0.0,0.0,0.0
1850,0.0,0.0,0.0
1851,0.0,0.0,0.0
1852,0.0,0.0,0.0
1853,0.0,0.0,0.0
1854,0.0,0.0,0.0
1855,0.0,0.0,0.0
1856,0.0,0.0,0.0
1857,0.0,0.0,0.0
1858,0.0,0.0,0.0
1859,0.0,0.0,0.0
1860,0.0,0.0,0.0
1861,0.0,0.0,0.0
1862,0.0,0.0,0.0
1863,0.0,0.0,0.0
1864,0.0,0.0,0.0
1865,0.0,0.0,0.0
1866,0.0,0.0,0.0
1867,0.0,0.0,0.0
1868,0.0,0.0,0.0
1869,0.0,0.0,0.0
1870,0.0,0.0,0.0
1871,0.0,0.0,0.0
1872,0.0,0.0,0.0
1873,0.0,0.0,0.0
1874,0.0,0.0,0.0
1875,0.0,0.0,0.0
1876,0.0,0.0,0.0
1877,0.0,0.0,0.0
1878,0.0,0.0,0.0
1879,0.0,0.0,0.0
1880,0.0,0.0,0.0
1881,0.0,0.0,0.0
1882,0.0,0.0,0.0
1883,0.0,0.0,0.0
1884,0.023399999999999997,0.00199,0.0
1885,0.0389,0.00331,0.0
1886,0.0506,0.00431,0.0
1887,0.0506,0.00431,0.0
1888,0.0857,0.00729,0.0
1889,0.14,0.0119,0.0
1890,0.315,0.0268,0.0
1891,0.315,0.0268,0.0
1892,0.51,0.0434,0.0
1893,1.91,0.163,0.0
1894,2.59,0.22,0.0
1895,3.55,0.302,0.0
1896,4.52,0.385,0.0
1897,5.08,0.432,0.0
1898,6.43,0.547,0.0
1899,5.86,0.499,0.0
1900,2.48,0.211,0.0
1901,4.15,0.354,0.0
1902,6.19,0.527,0.0
1903,8.27,0.704,0.0
1904,9.32,0.793,0.0
1905,10.7,0.907,0.0
1906,12.2,1.04,0.0
1907,13.4,1.14,0.0
1908,13.8,1.18,0.0
1909,15.9,1.35,0.0
1910,18.0,1.54,0.0
1911,17.4,1.48,0.0
1912,18.4,1.57,0.0
1913,20.2,1.72,0.0
1914,19.6,1.66,0.0
1915,19.7,1.67,0.0
1916,23.2,1.97,0.0
1917,24.8,2.11,0.0
1918,23.6,2.01,0.0
1919,24.6,2.09,0.0
1920,27.3,2.32,0.0
1921,27.0,2.3,0.0
1922,23.2,1.97,0.0
1923,28.1,2.39,0.0
1924,29.5,2.51,0.0
1925,30.8,2.62,0.0
1926,32.3,2.75,0.0
1927,31.4,2.67,0.0
1928,31.5,2.68,0.0
1929,32.5,2.95,0.0
1930,30.5,2.6,0.0
1931,27.2,2.31,0.0
1932,24.8,2.25,0.0
1933,26.8,2.43,0.0
1934,30.5,2.81,0.0
1935,33.9,3.15,0.0
1936,37.1,3.53,0.0
1937,38.7,3.71,0.0
1938,40.7,3.89,0.0
1939,42.2,4.06,0.0
1940,43.7,4.13,0.0
1941,46.7,4.4,0.0
1942,51.0,4.81,0.0
