year,IPC1,IPC2,IPC4,IPCMAG
1750,0.0,0.00125,0.0,0.0
1751,0.0,0.00126,0.0,0.0
1752,0.0,0.00128,0.0,0.0
1753,0.0,0.0012900000000000001,0.0,0.0
1754,0.0,0.0013,0.0,0.0
1755,0.0,0.00131,0.0,0.0
1756,0.0,0.00133,0.0,0.0
1757,0.0,0.00134,0.0,0.0
1758,0.0,0.00135,0.0,0.0
1759,0.0,0.0013700000000000001,0.0,0.0
1760,0.0,0.00138,0.0,0.0
1761,0.0,0.00139,0.0,0.0
1762,0.0,0.00141,0.0,0.0
1763,0.0,0.0014199999999999998,0.0,0.0
1764,0.0,0.0014399999999999999,0.0,0.0
1765,0.0,0.00145,0.0,0.0
1766,0.0,0.00147,0.0,0.0
1767,0.0,0.00148,0.0,0.0
1768,0.0,0.0015,0.0,0.0
1769,0.0,0.00151,0.0,0.0
1770,0.0,0.0015300000000000001,0.0,0.0
1771,0.0,0.0015400000000000001,0.0,0.0
1772,0.0,0.00156,0.0,0.0
1773,0.0,0.00157,0.0,0.0
1774,0.0,0.00159,0.0,0.0
1775,0.0,0.00161,0.0,0.0
1776,0.0,0.0016200000000000001,0.0,0.0
1777,0.0,0.00164,0.0,0.0
1778,0.0,0.00166,0.0,0.0
1779,0.0,0.0016699999999999998,0.0,0.0
1780,0.0,0.0016899999999999999,0.0,0.0
1781,0.0,0.00171,0.0,0.0
1782,0.0,0.00173,0.0,0.0
1783,0.0,0.00175,0.0,0.0
1784,0.0,0.00176,0.0,0.0
1785,0.0,0.0017800000000000001,0.0,0.0
1786,0.0,0.0018,0.0,0.0
1787,0.0,0.00182,0.0,0.0
1788,0.0,0.00184,0.0,0.0
1789,0.0,0.00186,0.0,0.0
1790,0.0,0.00188,0.0,0.0
1791,0.0,0.0019,0.0,0.0
1792,0.0,0.0019199999999999998,0.0,0.0
1793,0.0,0.0019399999999999999,0.0,0.0
1794,0.0,0.00196,0.0,0.0
1795,0.0,0.00198,0.0,0.0
1796,0.0,0.002,0.0,0.0
1797,0.0,0.00202,0.0,0.0
1798,0.0,0.00204,0.0,0.0
1799,0.0,0.00207,0.0,0.0
1800,0.0,0.00209,0.0,0.0
1801,0.0,0.00211,0.0,0.0
1802,0.0,0.00213,0.0,0.0
1803,0.0,0.00216,0.0,0.0
1804,0.0,0.00218,0.0,0.0
1805,0.0,0.00221,0.0,0.0
1806,0.0,0.0022299999999999998,0.0,0.0
1807,0.0,0.00226,0.0,0.0
1808,0.0,0.00228,0.0,0.0
1809,0.0,0.0023,0.0,0.0
1810,0.0,0.00233,0.0,0.0
1811,0.0,0.00235,0.0,0.0
1812,0.0,0.0023799999999999997,0.0,0.0
1813,0.0,0.0024100000000000002,0.0,0.0
1814,0.0,0.00244,0.0,0.0
1815,0.0,0.00246,0.0,0.0
1816,0.0,0.00249,0.0,0.0
1817,0.0,0.00252,0.0,0.0
1818,0.0,0.0025499999999999997,0.0,0.0
1819,0.0,0.0025800000000000003,0.0,0.0
1820,0.0,0.0026,0.0,0.0
1821,0.0,0.00263,0.0,0.0
1822,0.0,0.00267,0.0,0.0
1823,0.0,0.0027,0.0,0.0
1824,0.0,0.00273,0.0,0.0
1825,0.0,0.00276,0.0,0.0
1826,0.0,0.00279,0.0,0.0
1827,0.0,0.00282,0.0,0.0
1828,0.0,0.0028599999999999997,0.0,0.0
1829,0.0,0.00289,0.0,0.0
1830,0.0,0.00292,0.0,0.0
1831,0.0,0.00296,0.0,0.0
1832,0.0,0.00299,0.0,0.0
1833,0.0,0.0030299999999999997,0.0,0.0
1834,0.0,0.00307,0.0,0.0
1835,0.0,0.0031,0.0,0.0
1836,0.0,0.00314,0.0,0.0
1837,0.0,0.00318,0.0,0.0
1838,0.0,0.00321,0.0,0.0
1839,0.0,0.00325,0.0,0.0
1840,0.0,0.00329,0.0,0.0
1841,0.0,0.00333,0.0,0.0
1842,0.0,0.00337,0.0,0.0
1843,0.0,0.0034100000000000003,0.0,0.0
1844,0.0,0.00346,0.0,0.0
1845,0.0,0.0035,0.0,0.0
1846,0.0,0.00354,0.0,0.0
1847,0.0,0.0035800000000000003,0.0,0.0
1848,0.0,0.00362,0.0,0.0
1849,0.0,0.00367,0.0,0.0
1850,0.0,0.0037099999999999998,0.0,0.0
1851,0.0,0.00376,0.0,0.0
1852,0.0,0.00381,0.0,0.0
1853,0.0,0.0038599999999999997,0.0,0.0
1854,0.0,0.00391,0.0,0.0
1855,0.0,0.00396,0.0,0.0
1856,0.0,0.00401,0.0,0.0
1857,0.0,0.004059999999999999,0.0,0.0
1858,0.0,0.00411,0.0,0.0
1859,0.0,0.0041600000000000005,0.0,0.0
1860,0.0,0.00421,0.0,0.0
1861,0.0,0.00426,0.0,0.0
1862,0.0,0.00432,0.0,0.0
1863,0.0,0.00438,0.0,0.0
1864,0.0,0.00444,0.0,0.0
1865,0.0,0.0045,0.0,0.0
1866,0.0,0.00456,0.0,0.0
1867,0.0,0.00461,0.0,0.0
1868,0.0,0.00467,0.0,0.0
1869,0.0,0.004730000000000001,0.0,0.0
1870,0.0,0.00479,0.0,0.0
1871,0.0,0.004860000000000001,0.0,0.0
1872,0.0,0.0049299999999999995,0.0,0.0
1873,0.0,0.0049900000000000005,0.0,0.0
1874,0.0,0.005059999999999999,0.0,0.0
1875,0.0,0.00513,0.0,0.0
1876,0.0,0.0052,0.0,0.0
1877,0.0,0.0052699999999999995,0.0,0.0
1878,0.0,0.00534,0.0,0.0
1879,0.0,0.00541,0.0,0.0
1880,0.0,0.0054800000000000005,0.0,0.0
1881,0.0,0.00556,0.0,0.0
1882,0.0,0.00564,0.0,0.0
1883,0.0,0.005719999999999999,0.0,0.0
1884,0.0,0.0058,0.0,0.0
1885,0.0,0.00588,0.0,0.0
1886,0.0,0.00596,0.0,0.0
1887,0.0,0.00605,0.0,0.0
1888,0.0,0.00613,0.0,0.0
1889,0.0,0.00621,0.0,0.0
1890,0.0,0.0062900000000000005,0.0,0.0
1891,0.0,0.00639,0.0,0.0
1892,0.0,0.00649,0.0,0.0
1893,0.0,0.00658,0.0,0.0
1894,0.0,0.006679999999999999,0.0,0.0
1895,0.0,0.0067800000000000004,0.0,0.0
1896,0.0,0.00688,0.0,0.0
1897,0.0,0.00697,0.0,0.0
1898,0.0,0.00707,0.0,0.0
1899,0.0,0.00717,0.0,0.0
1900,0.0,0.0072699999999999996,0.0,0.0
1901,0.0,0.00738,0.0,0.0
1902,0.0,0.0075,0.0,0.0
1903,0.0,0.00762,0.0,0.0
1904,0.0,0.007730000000000001,0.0,0.0
1905,0.0,0.00785,0.0,0.0
1906,0.0,0.00797,0.0,0.0
1907,0.0,0.00808,0.0,0.0
1908,0.0,0.008199999999999999,0.0,0.0
1909,0.0,0.008320000000000001,0.0,0.0
1910,0.0,0.00844,0.0,0.0
1911,0.0,0.00858,0.0,0.0
1912,0.0,0.00872,0.0,0.0
1913,0.0,0.00886,0.0,0.0
1914,0.0,0.009,0.0,0.0
1915,0.0,0.00914,0.0,0.0
1916,0.0,0.00928,0.0,0.0
1917,0.0,0.00943,0.0,0.0
1918,0.0,0.00957,0.0,0.0
1919,0.0,0.009710000000000002,0.0,0.0
1920,0.0,0.00985,0.0,0.0
1921,0.0,0.01,0.0,0.0
1922,0.0,0.010199999999999999,0.0,0.0
1923,0.0,0.0104,0.0,0.0
1924,0.0,0.0105,0.0,0.0
1925,0.0,0.0107,0.0,0.0
1926,0.0,0.0109,0.0,0.0
1927,0.0,0.0111,0.0,0.0
1928,0.0,0.0112,0.0,0.0
1929,0.0,0.0114,0.0,0.0
1930,0.0,0.0116,0.0,0.0
1931,0.0,0.011800000000000001,0.0,0.0
1932,0.0,0.012,0.0,0.0
1933,0.0,0.012199999999999999,0.0,0.0
1934,0.0,0.0124,0.0,0.0
1935,0.0,0.0126,0.0,0.0
1936,0.0,0.0128,0.0,0.0
1937,0.0,0.013,0.0,0.0
1938,0.0,0.0132,0.0,0.0
1939,0.0,0.0135,0.0,0.0
1940,0.0,0.013699999999999999,0.0,0.0
1941,0.0,0.013900000000000001,0.0,0.0
1942,0.0,0.014199999999999999,0.0,0.0
1943,0.0,0.0144,0.0,0.0
1944,0.0,0.0147,0.0,0.0
1945,0.0,0.0224,0.0,0.0
1946,0.0,0.0304,0.0,0.0
1947,0.0,0.0386,0.0,0.0
1948,0.0,0.047,0.0,0.0
1949,0.0,0.055799999999999995,0.0,0.0
1950,0.0,0.0648,0.0,0.0
1951,0.0,0.0742,0.0,0.0
1952,0.0,0.0842,0.0,0.0
1953,0.0,0.0945,0.0,0.0
1954,0.0,0.105,0.0,0.0
1955,0.0,0.117,0.0,0.0
1956,0.0,0.128,0.0,0.0
1957,0.0,0.141,0.0,0.0
1958,0.0,0.153,0.0,0.0
1959,0.0,0.167,0.0,0.0
1960,0.0,0.181,0.0,0.0
