year,IPC1,IPC2
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,0.0,0.0
1950,0.0064,7.630000000000001e-05
1951,0.0064,8.48e-05
1952,0.0064,9.32e-05
1953,0.0064,0.000102
1954,0.0064,0.00011
1955,0.0064,0.00011899999999999999
1956,0.0064,0.000127
1957,0.0064,0.000135
1958,0.0064,0.00014399999999999998
1959,0.0064,0.000152
1960,0.0096,0.000241
1961,0.0096,0.000254
1962,0.0096,0.00026700000000000004
1963,0.0096,0.000279
1964,0.0096,0.000292
1965,0.0096,0.000305
1966,0.0096,0.000317
1967,0.0128,0.00044
1968,0.0128,0.000457
1969,0.0096,0.00035499999999999996
1970,0.0224,0.000458
1971,0.016,0.000458
1972,0.0192,0.00046
1973,0.0224,0.000458
1974,0.0192,0.00045
1975,0.0288,0.000457
1976,0.0256,0.000423
1977,0.0256,0.000424
1978,0.032,0.000472
1979,0.0352,0.00047099999999999996
1980,0.0352,0.000479
1981,0.0416,0.000505
1982,0.0384,0.000528
1983,0.0416,0.000492
1984,0.0416,0.000477
1985,0.0416,0.000428
1986,0.0416,0.00040300000000000004
1987,0.048,0.000437
1988,0.0608,0.000483
1989,0.0608,0.0005
1990,0.06720000000000001,0.0005
1991,0.0832,0.000512
1992,0.0608,0.000513
1993,0.0736,0.000512
1994,0.08,0.0005610000000000001
1995,0.0851,0.0005669999999999999
1996,0.0706,0.0006129999999999999
1997,0.09259999999999999,0.000642
1998,0.084,0.000631
1999,0.108,0.000638
2000,0.09490000000000001,0.0005759999999999999
2001,0.0852,0.00053
2002,0.0975,0.000513
2003,0.109,0.000545
2004,0.1,0.0005600000000000001
2005,0.102,0.000579
2006,0.113,0.000612
2007,0.1,0.0005669999999999999
2008,0.107,0.000559
2009,0.116,0.0005520000000000001
2010,0.103,0.000527
2011,0.0905,0.000521
2012,0.0937,0.0005340000000000001
2013,0.1,0.00053
2014,0.1,0.0005430000000000001
2015,0.107,0.00058
2016,0.113,0.000639
2017,0.139,0.000669
2018,0.147,0.000696
2019,0.161,0.000623
2020,0.159,0.000629
2021,0.161,0.000635
