year,IPC1,IPC4,IPCMAG
1750,0.007019999999999999,0.00827,0.018
1751,0.00696,0.00821,0.0178
1752,0.00691,0.008140000000000001,0.0177
1753,0.006849999999999999,0.00808,0.0176
1754,0.0068,0.00802,0.0174
1755,0.00674,0.00795,0.0173
1756,0.006690000000000001,0.00789,0.0171
1757,0.00664,0.00783,0.017
1758,0.00658,0.0077599999999999995,0.0169
1759,0.00653,0.0077,0.0167
1760,0.00647,0.00763,0.0166
1761,0.00642,0.00758,0.0165
1762,0.00637,0.00752,0.016300000000000002
1763,0.00632,0.00746,0.0162
1764,0.0062699999999999995,0.0074,0.0161
1765,0.00622,0.00734,0.0159
1766,0.00617,0.00728,0.0158
1767,0.0061200000000000004,0.00722,0.0157
1768,0.00607,0.0071600000000000006,0.0156
1769,0.006019999999999999,0.00711,0.0154
1770,0.00597,0.00705,0.015300000000000001
1771,0.00592,0.0069900000000000006,0.0152
1772,0.00588,0.00694,0.015099999999999999
1773,0.00583,0.00688,0.015
1774,0.00578,0.00683,0.0148
1775,0.00574,0.0067800000000000004,0.0147
1776,0.005690000000000001,0.006719999999999999,0.0146
1777,0.00564,0.00667,0.0145
1778,0.0056,0.00661,0.0144
1779,0.00555,0.00656,0.014199999999999999
1780,0.00551,0.00651,0.0141
1781,0.00546,0.00646,0.014
1782,0.00542,0.00641,0.013900000000000001
1783,0.00538,0.00636,0.013800000000000002
1784,0.00533,0.00631,0.013699999999999999
1785,0.00529,0.00626,0.0136
1786,0.00525,0.00621,0.0135
1787,0.00521,0.0061600000000000005,0.0134
1788,0.0051600000000000005,0.0060999999999999995,0.013300000000000001
1789,0.00512,0.00605,0.0132
1790,0.00508,0.006,0.013
1791,0.00504,0.00596,0.0129
1792,0.005,0.00591,0.0128
1793,0.00496,0.00587,0.0127
1794,0.00492,0.0058200000000000005,0.0126
1795,0.00488,0.00577,0.0125
1796,0.00484,0.005730000000000001,0.0124
1797,0.0048,0.005679999999999999,0.0123
1798,0.0047599999999999995,0.00564,0.012199999999999999
1799,0.004719999999999999,0.0055899999999999995,0.0121
1800,0.00468,0.00554,0.012
1801,0.00464,0.0055,0.0119
1802,0.00461,0.00546,0.0119
1803,0.00457,0.00542,0.011800000000000001
1804,0.00453,0.00537,0.011699999999999999
1805,0.0045,0.00533,0.0116
1806,0.0044599999999999996,0.00529,0.0115
1807,0.00443,0.00524,0.0114
1808,0.00439,0.0052,0.011300000000000001
1809,0.00435,0.0051600000000000005,0.0112
1810,0.00432,0.00512,0.0111
1811,0.00429,0.00508,0.011
1812,0.00426,0.00505,0.011
1813,0.00423,0.005019999999999999,0.0109
1814,0.00421,0.0049900000000000005,0.0108
1815,0.00418,0.00496,0.0108
1816,0.00415,0.00492,0.0107
1817,0.00412,0.004889999999999999,0.0106
1818,0.0040999999999999995,0.004860000000000001,0.0106
1819,0.004070000000000001,0.00483,0.0105
1820,0.00404,0.0048,0.0104
1821,0.00401,0.00477,0.0104
1822,0.0039900000000000005,0.00474,0.0103
1823,0.00396,0.00471,0.010199999999999999
1824,0.00394,0.00468,0.010199999999999999
1825,0.00391,0.0046500000000000005,0.0101
1826,0.0038900000000000002,0.00462,0.01
1827,0.0038599999999999997,0.0045899999999999995,0.00996
1828,0.00383,0.00456,0.0099
1829,0.00381,0.00453,0.00983
1830,0.00378,0.0045,0.00977
1831,0.00376,0.00447,0.009710000000000002
1832,0.00373,0.00444,0.00965
1833,0.0037099999999999998,0.00441,0.00959
1834,0.00369,0.00438,0.009519999999999999
1835,0.00366,0.00436,0.009460000000000001
1836,0.00364,0.00433,0.0094
1837,0.00361,0.0043,0.00934
1838,0.00359,0.0042699999999999995,0.00928
1839,0.0035600000000000002,0.00424,0.00922
1840,0.00354,0.00422,0.00916
1841,0.00352,0.00419,0.0091
1842,0.00349,0.0041600000000000005,0.00904
1843,0.00347,0.00414,0.00899
1844,0.0034500000000000004,0.00411,0.00893
1845,0.0034300000000000003,0.00408,0.00887
1846,0.0034,0.004059999999999999,0.00881
1847,0.0033799999999999998,0.004030000000000001,0.00876
1848,0.0033599999999999997,0.00401,0.0087
1849,0.0033399999999999997,0.00398,0.00864
1850,0.00331,0.00395,0.00859
1851,0.00329,0.00393,0.00853
1852,0.00327,0.0039,0.00848
1853,0.00325,0.0038799999999999998,0.00842
1854,0.00323,0.00385,0.008369999999999999
1855,0.00322,0.00383,0.008320000000000001
1856,0.0032,0.0038,0.00826
1857,0.00318,0.00378,0.00821
1858,0.00316,0.00375,0.00816
1859,0.00314,0.00373,0.0081
1860,0.00312,0.0037099999999999998,0.00805
1861,0.00312,0.0037099999999999998,0.00807
1862,0.00313,0.00372,0.00808
1863,0.00314,0.00373,0.0081
1864,0.00314,0.0037400000000000003,0.00811
1865,0.00315,0.0037400000000000003,0.00813
1866,0.00316,0.00375,0.008150000000000001
1867,0.00317,0.00376,0.00816
1868,0.00317,0.00377,0.00818
1869,0.00318,0.00377,0.008199999999999999
1870,0.00319,0.00378,0.00821
1871,0.00319,0.00379,0.008230000000000001
1872,0.0032,0.0038,0.00825
1873,0.00321,0.0038,0.00826
1874,0.00321,0.00381,0.00828
1875,0.00322,0.00382,0.0083
1876,0.00323,0.00383,0.00831
1877,0.00323,0.0038399999999999997,0.00833
1878,0.0032400000000000003,0.0038399999999999997,0.00835
1879,0.00325,0.00385,0.00836
1880,0.00326,0.0038599999999999997,0.00838
1881,0.00326,0.00387,0.008400000000000001
1882,0.00327,0.00387,0.00841
1883,0.00328,0.0038799999999999998,0.00843
1884,0.00335,0.0038900000000000002,0.00845
1885,0.00342,0.0039,0.00847
1886,0.00349,0.00391,0.00848
1887,0.0035600000000000002,0.00391,0.0085
1888,0.00363,0.00392,0.00852
1889,0.0037099999999999998,0.00393,0.00853
1890,0.00379,0.00394,0.00855
1891,0.0038599999999999997,0.00394,0.00857
1892,0.00394,0.00395,0.00859
1893,0.004019999999999999,0.00396,0.0086
1894,0.00411,0.0039700000000000004,0.00862
1895,0.00419,0.00398,0.00864
1896,0.00428,0.0039900000000000005,0.00866
1897,0.00437,0.0039900000000000005,0.00867
1898,0.0044599999999999996,0.004,0.00869
1899,0.00455,0.00401,0.00871
1900,0.00464,0.004019999999999999,0.00873
1901,0.0048,0.00405,0.00879
1902,0.00496,0.00408,0.00885
1903,0.00512,0.00411,0.008919999999999999
1904,0.00529,0.00413,0.00898
1905,0.00546,0.0041600000000000005,0.00905
1906,0.00564,0.00419,0.00911
1907,0.0058200000000000005,0.00422,0.00917
1908,0.00601,0.00425,0.00924
1909,0.0062,0.00428,0.009300000000000001
1910,0.0064,0.00431,0.00937
1911,0.0066,0.00441,0.00959
1912,0.006809999999999999,0.00452,0.009810000000000001
1913,0.007030000000000001,0.00462,0.01
1914,0.00828,0.004719999999999999,0.0103
1915,0.008369999999999999,0.00483,0.0105
1916,0.00846,0.0049299999999999995,0.0107
1917,0.008539999999999999,0.005030000000000001,0.0109
1918,0.00852,0.00514,0.0112
1919,0.0087,0.00524,0.0114
1920,0.00888,0.00534,0.0116
1921,0.008960000000000001,0.00546,0.0119
1922,0.00903,0.00558,0.0121
1923,0.0091,0.0057,0.0124
1924,0.00917,0.0058200000000000005,0.0126
1925,0.00923,0.00594,0.0129
1926,0.00928,0.006059999999999999,0.0132
1927,0.00948,0.00618,0.0134
1928,0.00967,0.0063,0.013699999999999999
1929,0.009869999999999999,0.00642,0.013900000000000001
1930,0.0101,0.00654,0.014199999999999999
1931,0.0103,0.006679999999999999,0.0145
1932,0.0105,0.0068200000000000005,0.0148
1933,0.0108,0.00696,0.015099999999999999
1934,0.0111,0.0070999999999999995,0.0154
1935,0.0123,0.00724,0.0157
1936,0.0125,0.00738,0.0161
1937,0.0121,0.00751,0.0165
