year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00549,0.0,0.0109,7.4e-21,0.013
1751,0.00553,0.0,0.011,1.93e-05,0.013099999999999999
1752,0.00557,0.0,0.0111,3.85e-05,0.0132
1753,0.00561,0.0,0.0112,5.7799999999999995e-05,0.013300000000000001
1754,0.00566,0.0,0.011300000000000001,7.71e-05,0.0134
1755,0.0057,0.0,0.0114,9.64e-05,0.0135
1756,0.00574,0.0,0.0115,0.000116,0.013699999999999999
1757,0.00578,0.0,0.0116,0.000135,0.013800000000000002
1758,0.0058200000000000005,0.0,0.0116,0.000154,0.013900000000000001
1759,0.005860000000000001,0.0,0.011699999999999999,0.00017299999999999998,0.014
1760,0.005900000000000001,0.0,0.011800000000000001,0.000193,0.0141
1761,0.00595,0.0,0.0119,0.000212,0.014199999999999999
1762,0.0059900000000000005,0.0,0.012,0.000231,0.0143
1763,0.00604,0.0,0.0121,0.000251,0.0144
1764,0.00608,0.0,0.012199999999999999,0.00027,0.0145
1765,0.0061200000000000004,0.0,0.0123,0.000289,0.0147
1766,0.00617,0.0,0.0124,0.000308,0.0148
1767,0.00621,0.0,0.0125,0.000328,0.0149
1768,0.00626,0.0,0.0126,0.000347,0.015
1769,0.0063,0.0,0.0127,0.000366,0.015099999999999999
1770,0.00634,0.0,0.0128,0.00038500000000000003,0.0152
1771,0.00639,0.0,0.0129,0.00040500000000000003,0.0154
1772,0.00644,0.0,0.013,0.000424,0.0155
1773,0.00649,0.0,0.013099999999999999,0.000443,0.0156
1774,0.00653,0.0,0.0132,0.00046300000000000003,0.0157
1775,0.00658,0.0,0.013300000000000001,0.000482,0.0159
1776,0.00663,0.0,0.0134,0.000501,0.016
1777,0.00667,0.0,0.0135,0.0005200000000000001,0.0161
1778,0.006719999999999999,0.0,0.0136,0.00054,0.0162
1779,0.00677,0.0,0.013699999999999999,0.000559,0.016399999999999998
1780,0.006809999999999999,0.0,0.013800000000000002,0.000578,0.0165
1781,0.006860000000000001,0.0,0.014,0.000597,0.0166
1782,0.00691,0.0,0.0141,0.000617,0.016800000000000002
1783,0.00696,0.0,0.014199999999999999,0.0006360000000000001,0.0169
1784,0.00701,0.0,0.0143,0.000655,0.017
1785,0.0070599999999999994,0.0,0.0144,0.000675,0.0172
1786,0.00711,0.0,0.0145,0.000694,0.0173
1787,0.0071600000000000006,0.0,0.0146,0.000713,0.0174
1788,0.00721,0.0,0.0147,0.000732,0.0176
1789,0.00726,0.0,0.0149,0.000752,0.0177
1790,0.00731,0.0,0.015,0.000771,0.0178
1791,0.00737,0.0,0.015099999999999999,0.00079,0.018
1792,0.0074199999999999995,0.0,0.0152,0.000809,0.0181
1793,0.00747,0.0,0.015300000000000001,0.000829,0.0183
1794,0.00753,0.0,0.0155,0.000848,0.0184
1795,0.00758,0.0,0.0156,0.000867,0.018600000000000002
1796,0.00763,0.0,0.0157,0.000887,0.018699999999999998
1797,0.007679999999999999,0.0,0.0158,0.000906,0.0189
1798,0.00774,0.0,0.016,0.000925,0.019
