year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,2.2000000000000002e-10
1922,8.180000000000001e-10
1923,1.7000000000000001e-09
1924,2.77e-09
1925,3.9299999999999995e-09
1926,5.1e-09
1927,6.17e-09
1928,7.05e-09
1929,7.649999999999999e-09
1930,7.869999999999999e-09
1931,7.69e-09
1932,7.21e-09
1933,6.49e-09
1934,5.630000000000001e-09
1935,4.69e-09
1936,3.7500000000000005e-09
1937,2.88e-09
1938,2.17e-09
1939,1.69e-09
1940,1.51e-09
1941,1.32e-06
1942,4.99e-06
1943,1.06e-05
1944,1.77e-05
1945,2.6e-05
1946,3.49e-05
1947,4.41e-05
1948,5.32e-05
1949,6.18e-05
1950,6.93e-05
1951,7.630000000000001e-05
1952,8.319999999999999e-05
1953,9.01e-05
1954,9.71e-05
1955,0.000104
1956,0.000111
1957,0.000118
1958,0.000125
1959,0.000132
1960,0.00013900000000000002
1961,0.000145
1962,0.00015099999999999998
1963,0.000156
1964,0.000161
1965,0.00016700000000000002
1966,0.00017299999999999998
1967,0.00017999999999999998
1968,0.000188
1969,0.00019700000000000002
1970,0.00020899999999999998
1971,0.000231
1972,0.00027
1973,0.000323
1974,0.00038700000000000003
1975,0.00045900000000000004
1976,0.000536
1977,0.000615
1978,0.0006929999999999999
1979,0.000767
1980,0.000834
1981,0.000902
1982,0.000979
1983,0.00106
1984,0.00114
1985,0.00122
1986,0.0013
1987,0.00136
1988,0.00141
1989,0.00145
1990,0.0016
1991,0.0017
1992,0.00731
1993,0.0149
1994,0.016300000000000002
1995,0.0173
1996,0.0198
1997,0.022699999999999998
1998,0.0257
1999,0.029
2000,0.034
2001,0.0415
2002,0.0453
2003,0.0461
2004,0.0469
2005,0.0461
2006,0.0493
2007,0.0544
2008,0.057
2009,0.0585
2010,0.0611
2011,0.0645
2012,0.0673
2013,0.0687
2014,0.0741
2015,0.0745
2016,0.0735
2017,0.0726
2018,0.0663
2019,0.0635
2020,0.0584
2021,0.0554
2022,0.052399999999999995
2023,0.0494
2024,0.0456
