year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,5.590000000000001e-06
1851,5.590000000000001e-06
1852,5.590000000000001e-06
1853,5.590000000000001e-06
1854,5.590000000000001e-06
1855,5.590000000000001e-06
1856,5.590000000000001e-06
1857,5.590000000000001e-06
1858,5.590000000000001e-06
1859,5.590000000000001e-06
1860,5.590000000000001e-06
1861,5.590000000000001e-06
1862,5.590000000000001e-06
1863,5.590000000000001e-06
1864,5.590000000000001e-06
1865,5.590000000000001e-06
1866,5.590000000000001e-06
1867,5.590000000000001e-06
1868,5.590000000000001e-06
1869,5.590000000000001e-06
1870,5.590000000000001e-06
1871,5.590000000000001e-06
1872,5.590000000000001e-06
1873,5.590000000000001e-06
1874,5.590000000000001e-06
1875,5.590000000000001e-06
1876,5.590000000000001e-06
1877,5.590000000000001e-06
1878,5.590000000000001e-06
1879,5.590000000000001e-06
1880,5.590000000000001e-06
1881,5.590000000000001e-06
1882,5.590000000000001e-06
1883,5.590000000000001e-06
1884,5.590000000000001e-06
1885,5.590000000000001e-06
1886,5.6e-06
1887,5.6e-06
1888,5.6e-06
1889,5.6e-06
1890,5.6e-06
1891,6.55e-06
1892,9.19e-06
1893,1.32e-05
1894,1.8200000000000002e-05
1895,2.39e-05
1896,2.9999999999999997e-05
1897,3.6200000000000006e-05
1898,4.2000000000000004e-05
1899,4.72e-05
1900,5.15e-05
1901,5.5e-05
1902,5.82e-05
1903,6.110000000000001e-05
1904,6.39e-05
1905,6.66e-05
1906,6.94e-05
1907,7.230000000000001e-05
1908,7.53e-05
1909,7.86e-05
1910,8.219999999999999e-05
1911,8.62e-05
1912,9.039999999999999e-05
1913,9.49e-05
1914,9.97e-05
1915,0.00010499999999999999
1916,0.00011
1917,0.000115
1918,0.000121
1919,0.000127
1920,0.000134
1921,0.00016800000000000002
1922,0.000251
1923,0.000372
1924,0.000522
1925,0.0006889999999999999
1926,0.000864
1927,0.0010400000000000001
1928,0.0012
1929,0.00133
1930,0.0014299999999999998
1931,0.00151
1932,0.00157
1933,0.00161
1934,0.00165
1935,0.0016799999999999999
1936,0.00172
1937,0.00175
1938,0.0018
1939,0.00185
1940,0.0019199999999999998
1941,0.0022400000000000002
1942,0.0030299999999999997
1943,0.00419
1944,0.00564
1945,0.00732
1946,0.009130000000000001
1947,0.011
1948,0.0129
1949,0.0146
1950,0.0162
1951,0.0177
1952,0.019100000000000002
1953,0.0206
1954,0.0222
1955,0.0237
1956,0.0252
1957,0.0268
1958,0.028300000000000002
1959,0.0299
1960,0.0314
1961,0.0329
1962,0.0343
1963,0.0356
1964,0.037
1965,0.038299999999999994
1966,0.039799999999999995
1967,0.0415
1968,0.0433
1969,0.045399999999999996
1970,0.0479
1971,0.0523
1972,0.06
1973,0.0704
1974,0.083
1975,0.097
1976,0.112
1977,0.127
1978,0.142
1979,0.157
1980,0.17
1981,0.183
1982,0.198
1983,0.214
1984,0.23
1985,0.245
1986,0.259
1987,0.272
1988,0.282
1989,0.288
1990,0.266
1991,0.196
1992,0.174
1993,0.155
1994,0.189
1995,0.242
1996,0.38
1997,0.513
1998,0.72
1999,1.02
2000,1.74
2001,2.34
2002,2.91
2003,3.56
2004,4.23
2005,5.03
2006,5.31
2007,5.43
2008,5.66
2009,5.85
2010,5.84
2011,5.9
2012,6.03
2013,6.2
2014,6.74
2015,7.41
2016,8.4
2017,9.38
2018,10.6
2019,11.6
2020,12.7
2021,13.8
2022,14.9
2023,16.0
2024,17.1
