year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,1.4e-05
1851,2.79e-05
1852,4.19e-05
1853,5.58e-05
1854,6.98e-05
1855,8.38e-05
1856,9.769999999999999e-05
1857,0.000112
1858,0.000126
1859,0.00014000000000000001
1860,0.000154
1861,0.00016800000000000002
1862,0.000182
1863,0.000195
1864,0.00020899999999999998
1865,0.000223
1866,0.000237
1867,0.000251
1868,0.000265
1869,0.000279
1870,0.00029299999999999997
1871,0.000307
1872,0.000321
1873,0.000335
1874,0.00034899999999999997
1875,0.000363
1876,0.000377
1877,0.000391
1878,0.00040500000000000003
1879,0.000419
1880,0.000433
1881,0.000447
1882,0.00046100000000000004
1883,0.000475
1884,0.000489
1885,0.000503
1886,0.000517
1887,0.000531
1888,0.000545
1889,0.000558
1890,0.0005719999999999999
1891,0.0005859999999999999
1892,0.0006
1893,0.000614
1894,0.000628
1895,0.000642
1896,0.000656
1897,0.00067
1898,0.000684
1899,0.0006979999999999999
1900,0.000712
1901,0.000726
1902,0.00074
1903,0.000754
1904,0.000768
1905,0.000782
1906,0.000796
1907,0.0008100000000000001
1908,0.000824
1909,0.000838
1910,0.000852
1911,0.000866
1912,0.00088
1913,0.000894
1914,0.0009080000000000001
1915,0.000921
1916,0.0009350000000000001
1917,0.000949
1918,0.000963
1919,0.000977
1920,0.000991
1921,0.00101
1922,0.0010400000000000001
1923,0.00107
1924,0.0011200000000000001
1925,0.00116
1926,0.0012
1927,0.00124
1928,0.00128
1929,0.0013
1930,0.00132
1931,0.00133
1932,0.00134
1933,0.00133
1934,0.00132
1935,0.00132
1936,0.00131
1937,0.0013
1938,0.0013
1939,0.0013
1940,0.00131
1941,0.00132
1942,0.00134
1943,0.00136
1944,0.0013700000000000001
1945,0.00139
1946,0.00141
1947,0.0014299999999999998
1948,0.00145
1949,0.00147
1950,0.0015
1951,0.00152
1952,0.0015400000000000001
1953,0.00156
1954,0.00159
1955,0.00161
1956,0.00164
1957,0.00166
1958,0.0016899999999999999
1959,0.00172
1960,0.00175
1961,0.0017800000000000001
1962,0.00181
1963,0.00185
1964,0.00189
1965,0.0019299999999999999
1966,0.00198
1967,0.0020299999999999997
1968,0.00207
1969,0.00213
1970,0.00218
1971,0.0022400000000000002
1972,0.00231
1973,0.00239
1974,0.0024700000000000004
1975,0.00256
1976,0.00265
1977,0.00275
1978,0.0028399999999999996
1979,0.00292
1980,0.0030099999999999997
1981,0.0030800000000000003
1982,0.00316
1983,0.00323
1984,0.00331
1985,0.0033799999999999998
1986,0.00346
1987,0.00354
1988,0.00362
1989,0.0037099999999999998
1990,0.00372
1991,0.0126
1992,0.0185
1993,0.0282
1994,0.0658
1995,0.112
1996,0.173
1997,0.237
1998,0.32
1999,0.468
2000,0.87
2001,1.2
2002,1.51
2003,1.88
2004,2.24
2005,2.68
2006,2.82
2007,2.88
2008,2.99
2009,3.1
2010,3.08
2011,3.1
2012,3.16
2013,3.24
2014,3.55
2015,3.95
2016,4.7
2017,5.75
2018,6.48
2019,7.32
2020,8.2
2021,9.21
2022,9.98
2023,10.8
