year,IPC1,IPC2
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,0.0,0.0
1950,0.00733,7.64e-05
1951,0.00733,8.49e-05
1952,0.00733,9.34e-05
1953,0.00733,0.000102
1954,0.00733,0.00011
1955,0.00733,0.00011899999999999999
1956,0.00733,0.000127
1957,0.00733,0.000136
1958,0.00733,0.00014399999999999998
1959,0.00733,0.000153
1960,0.011,0.000242
1961,0.011,0.000254
1962,0.011,0.00026700000000000004
1963,0.011,0.00028000000000000003
1964,0.011,0.000292
1965,0.011,0.000305
1966,0.011,0.00031800000000000003
1967,0.0147,0.000441
1968,0.0147,0.000458
1969,0.011,0.000356
1970,0.0257,0.00045900000000000004
1971,0.0183,0.00045900000000000004
1972,0.022,0.000462
1973,0.0257,0.00045900000000000004
1974,0.022,0.00045200000000000004
1975,0.033,0.000458
1976,0.0293,0.000424
1977,0.0293,0.000425
1978,0.0367,0.000474
1979,0.040299999999999996,0.00047299999999999995
1980,0.040299999999999996,0.000481
1981,0.047700000000000006,0.000507
1982,0.044,0.000531
1983,0.047700000000000006,0.000494
1984,0.047700000000000006,0.000479
1985,0.047700000000000006,0.000429
1986,0.047700000000000006,0.00040300000000000004
1987,0.055,0.00044
1988,0.0697,0.000489
1989,0.0697,0.000506
1990,0.077,0.000506
1991,0.0953,0.000519
1992,0.0697,0.000521
1993,0.0843,0.0005200000000000001
1994,0.0917,0.000571
1995,0.0953,0.000578
1996,0.077,0.000626
1997,0.099,0.000656
1998,0.088,0.000644
1999,0.11,0.000652
2000,0.0953,0.00061
2001,0.088,0.0005560000000000001
2002,0.103,0.000537
2003,0.117,0.000575
2004,0.11,0.000592
2005,0.114,0.0006039999999999999
2006,0.128,0.0006450000000000001
2007,0.114,0.000589
2008,0.121,0.000585
2009,0.132,0.000594
2010,0.117,0.0005480000000000001
2011,0.103,0.000523
2012,0.106,0.000544
2013,0.114,0.000541
2014,0.114,0.000606
2015,0.121,0.00063
2016,0.128,0.000644
2017,0.158,0.00086
2018,0.167,0.000608
2019,0.182,0.0006450000000000001
2020,0.181,0.000653
2021,0.183,0.000661
